variable	label
mea7_13	4TH CONDITION AGE
mea7_14	5TH CONDITION ICD CODE
mea7_15a	5TH ILLNESS DEFECT TEXT STRING 30 CHARS (A)
mea7_15b	5TH ILLNESS DEFECT TEXT STRING 30 CHARS (B)
mea7_16	5TH CONDITION AGE
mea7_17	6TH CONDITION ICD CODE
mea7_18	6TH ILLNESS DEFECT TEXT STRING 30 CHARS
mea7_19	6TH CONDITION AGE
mea7_20	TEXT FOR EXTRA INFO ON ILLNESS DEFECT
mea8_1	TEXT FLAG RELEVANT DISABILITY/HANDICAP
mea8_2	DISABILITY/HANDICAP, TEXT POOL IDENT 1
mea8_3	DISABILITY/HANDICAP, TEXT POOL IDENT 2
mea8_4	DISABILITY/HANDICAP, TEXT POOL IDENT 3
mea9_1	EVIDENCE OF ATTENDING HEARING CLINIC
mea9_2	REASON FOR ATTENDING HEARING CLINIC
mea9_3	1ST AGE ATTENDED HEARING CLINIC
mea9_4	2ND AGE ATTENDED HEARING CLINIC
mea9_5	3RD AGE ATTENDED HEARING CLINIC
mea9_6	4TH AGE ATTENDED HEARING CLINIC
mea9_7	EVIDENCE OF ATTENDING EYE CLINIC
mea9_8	REASON FOR ATTENDING EYE CLINIC
mea9_9	1ST AGE ATTENDED EYE CLINIC
mea9_10	2ND AGE ATTENDED EYE CLINIC
mea9_11	3RD AGE ATTENDED EYE CLINIC
mea9_12	4TH AGE ATTENDED EYE CLINIC
mea9_13	EVIDENCE OF ATTENDING SPEECH THERAPIST
mea9_14	REASON FOR ATTENDING SPEECH THERAPIST
mea9_15	1ST AGE ATTENDED SPEECH THERAPIST
mea9_16	2ND AGE ATTENDED SPEECH THERAPIST
mea9_17	3RD AGE ATTENDED SPEECH THERAPIST
mea9_18	4TH AGE ATTENDED SPEECH THERAPIST
mea9_19	EVIDENCE OF ATTENDING OCCUP THERAPIST
mea9_20	REASON FOR ATTENDING OCCUP THERAPIST
mea9_21	1ST AGE ATTENDED OCCUP THERAPIST
mea9_22	2ND AGE ATTENDED OCCUP THERAPIST
mea9_23	3RD AGE ATTENDED OCCUP THERAPIST
mea9_24	4TH AGE ATTENDED OCCUP THERAPIST
mea9_25	EVIDENCE OF ATTENDING PHYSIOTHERAPIST
mea9_26	REASON FOR ATTENDING PHYSIOTHERAPIST
mea9_27	1ST AGE ATTENDED PHYSIOTHERAPIST
mea9_28	2ND AGE ATTENDED PHYSIOTHERAPIST
mea9_29	3RD AGE ATTENDED PHYSIOTHERAPIST
mea9_30	4TH AGE ATTENDED PHYSIOTHERAPIST
mea9_31	EVIDENCE OF ATTENDING CHILD/FAM GUIDANCE
mea9_32	REASON FOR ATTENDING CHILD/FAM GUIDANCE
mea9_33	1ST AGE ATTENDED CHILD/FAM GUIDANCE
mea9_34	2ND AGE ATTENDED CHILD/FAM GUIDANCE
mea9_35	3RD AGE ATTENDED CHILD/FAM GUIDANCE
mea9_36	4TH AGE ATTENDED CHILD/FAM GUIDANCE
mea9_37	EVIDENCE OF ATTENDING OTHER PSYCHOLOGICAL
mea9_38	REASON FOR ATTENDING OTHER PSYCHOLOGICAL
mea9_39	1ST AGE ATTENDED OTHER PSYCHOLOGICAL
mea9_40	2ND AGE ATTENDED OTHER PSYCHOLOGICAL
mea9_41	3RD AGE ATTENDED OTHER PSYCHOLOGICAL
mea9_42	4TH AGE ATTENDED OTHER PSYCHOLOGICAL
mea9_43	EXTRA INFO ON ATTENDING CLINICS ETC
mea10_1	IS/HAS CHILD BEEN ON REGISTER: YES NOW
mea10_2	IS/HAS CHILD BEEN ON REGISTER: YES PAST
mea10_3	IS/HAS CHILD BEEN ON REGISTER: NO, NEVER
mea10_4	IS/HAS CHILD BEEN ON REGISTER: NOT KNOWN
mea10_5	NAME OF 1ST REGISTER
mea10_6	NAME OF 2ND REGISTER
mea10_7	NAME OF 3RD REGISTER
mea10_8	REASON PUT ON REGISTER 1,ICD CODE
mea10_9	REASON PUT ON REGISTER 2,ICD CODE
mea10_10	REASON PUT ON REGISTER 3,ICD CODE
mea10_11	DATE PUT ON REGISTER 1
mea10_12	DATE PUT ON REGISTER 2
mea10_13	DATE PUT ON REGISTER 3
mea10_14	DATE TAKEN OFF REGISTER 1
mea10_15	DATE TAKEN OFF REGISTER 2
mea10_16	DATE TAKEN OFF REGISTER 3
mea11	CHILD EVER ASSESSED NEED SPEC EDUCATION
mea12_1	SPEC ED CATEGORIES 4HP PARTIALLY SIGHTED
mea12_2	SPEC ED CATEGORIES 4HP DEAF
mea12_3	SPEC ED CATEGORIES 4HP PARTIALLY HEARING
mea12_4	SPEC ED CATEGORIES 4HP MENTAL HANDICAP
mea12_5	SPEC ED CATEGORIES 4HP ESN(M)
mea12_6	SPEC ED CATEGORIES 4HP ESN(S)
mea12_7	SPEC ED CATEGORIES 4HP EPILEPSY
mea12_8	SPEC ED CATEGORIES 4HP PHYSIC HANDICAP
mea12_9	SPEC ED CATEGORIES 4HP SPEECH DEFECT
mea12_10	SPEC ED CATEGORIES 4HP MALADJUSTED
mea12_11	SPEC ED CATEGORIES 4HP DELICATE
mea12_12	SPEC ED CATEGORIES SE2 VISION
mea12_13	SPEC ED CATEGORIES SE2 HEARING
mea12_14	SPEC ED CATEGORIES SE2 SPEECH, LANGUAGE
mea12_15	SPEC ED CATEGORIES SE2 MOTOR FUNCTION
mea12_16	SPEC ED CATEGORIES SE2 PHYSICAL HEALTH
mea12_17	SPEC ED CATEGORIES SE2 BEHAVIOUR/EMOTION
mea12_18	SPEC ED CATEGORIES SE2 INTELLECTUAL DEV
mea12_19	SPEC ED CATEGORIES SE2 ABLE TO COPE SELF
mea12_20	FORM USED OTHER THAN 4HP, SE2 OR SE3
mea13_1	WHERE CHILD LIVES & TYPE SCHOOL ATTENDED
mea13_2	TEXT FLAG OF SCHOOL NAME AND ADDRESS
mea14_1	HEALTH RECORDS MISSING WHEN FORM COMPLETED
mea14_2	WERE ANY HEALTH RECORDS MISSING 1ST TYPE
mea14_3	WERE ANY HEALTH RECORDS MISSING 2ND TYPE
mea14_4	WERE ANY HEALTH RECORDS MISSING 3RD TYPE
mea14_5	WERE ANY HEALTH RECORDS MISSING 4TH TYPE
meb1_1	WHERE MEDICAL EXAM TOOK PLACE?
meb1_2	TEXT FLAG OTHER PLACE MEDICAL TOOK PLACE
meb2_1	ACCOMPANIED CHILD TO EXAM: MOTHER
meb2_2	ACCOMPANIED CHILD TO EXAM: FATHER
meb2_3	ACCOMPANIED CHILD TO EXAM: OTHER RELATIVE
meb2_4	ACCOMPANIED CHILD TO EXAM: TEACHER
meb2_5	ACCOMPANIED CHILD TO EXAM: OTHER PERSON
meb2_6	ACCOMPANIED CHILD TO EXAM: UNACCOMPANIED
meb3	WAS PARENT INTERVIEW FORM AVAILABLE?
meb4_1	RECURRENT SORE THROATS, PAST 12 MONTHS
meb4_2	RECURRENT SORE THROATS, PRIOR PAST 12 MNTHS
meb4_3	RECURRENT SORE THROATS, YES AGE NOT KNOWN
meb4_4	RECURRENT SORE THROATS, NO
meb4_5	RECURRENT SORE THROATS, NO INFORMATION
meb4_6	MIDDLE EAR INFECTION, PAST 12 MONTHS
meb4_7	MIDDLE EAR INFECTION, PRIOR PAST 12 MNTHS
meb4_8	MIDDLE EAR INFECTION, YES AGE NOT KNOWN
meb4_9	MIDDLE EAR INFECTION, NO
meb4_10	MIDDLE EAR INFECTION, NO INFORMATION
meb4_11	HEARING LOSS, PAST 12 MONTHS
meb4_12	HEARING LOSS, PRIOR PAST 12 MNTHS
meb4_13	HEARING LOSS, YES AGE NOT KNOWN
meb4_14	HEARING LOSS, NO
meb4_15	HEARING LOSS, NO INFORMATION
meb4_16	ECZEMA, PAST 12 MONTHS
meb4_17	ECZEMA, PRIOR PAST 12 MNTHS
meb4_18	ECZEMA, YES AGE NOT KNOWN
meb4_19	ECZEMA, NO
meb4_20	ECZEMA, NO INFORMATION
meb4_21	HAY FEVER, PAST 12 MONTHS
meb4_22	HAY FEVER, PRIOR PAST 12 MNTHS
meb4_23	HAY FEVER, YES AGE NOT KNOWN
meb4_24	HAY FEVER, NO
meb4_25	HAY FEVER, NO INFORMATION
meb4_26	ASTHMA, PAST 12 MONTHS
meb4_27	ASTHMA, PRIOR PAST 12 MNTHS
meb4_28	ASTHMA, YES AGE NOT KNOWN
meb4_29	ASTHMA, NO
meb4_30	ASTHMA, NO INFORMATION
meb4_31	WHEEZY BRONCHITIS, PAST 12 MONTHS
meb4_32	WHEEZY BRONCHITIS, PRIOR PAST 12 MNTHS
meb4_33	WHEEZY BRONCHITIS, YES AGE NOT KNOWN
meb4_34	WHEEZY BRONCHITIS, NO
meb4_35	WHEEZY BRONCHITIS, NO INFORMATION
meb4_36	BRONCHITIS, PAST 12 MONTHS
meb4_37	BRONCHITIS, PRIOR PAST 12 MNTHS
meb4_38	BRONCHITIS, YES AGE NOT KNOWN
meb4_39	BRONCHITIS, NO
meb4_40	BRONCHITIS, NO INFORMATION
meb4_41	PNEUMONIA, PAST 12 MONTHS
meb4_42	PNEUMONIA, PRIOR PAST 12 MNTHS
meb4_43	PNEUMONIA, YES AGE NOT KNOWN
meb4_44	PNEUMONIA, NO
meb4_45	PNEUMONIA, NO INFORMATION
meb4_46	PATHOLOGICAL HEART COND, PAST 12 MONTHS
meb4_47	PATHOLOGICAL HEART COND, PRIOR PAST 12 MNTHS
meb4_48	PATHOLOGICAL HEART COND, YES AGE NOT KNOWN
meb4_49	PATHOLOGICAL HEART COND, NO
meb4_50	PATHOLOGICAL HEART COND, NO INFORMATION
meb4_51	RECURRENT ABDOM PAIN, PAST 12 MONTHS
meb4_52	RECURRENT ABDOM PAIN, PRIOR PAST 12 MNTHS
meb4_53	RECURRENT ABDOM PAIN, YES AGE NOT KNOWN
meb4_54	RECURRENT ABDOM PAIN, NO
meb4_55	RECURRENT ABDOM PAIN, NO INFORMATION
meb4_56	INGUINAL HERNIA, PAST 12 MONTHS
meb4_57	INGUINAL HERNIA, PRIOR PAST 12 MNTHS
meb4_58	INGUINAL HERNIA, YES AGE NOT KNOWN
meb4_59	INGUINAL HERNIA, NO
meb4_60	INGUINAL HERNIA, NO INFORMATION
meb4_61	URINARY INFECTION, PAST 12 MONTHS
meb4_62	URINARY INFECTION, PRIOR PAST 12 MNTHS
meb4_63	URINARY INFECTION, YES AGE NOT KNOWN
meb4_64	URINARY INFECTION, NO
meb4_65	URINARY INFECTION, NO INFORMATION
meb4_66	WETS BED, PAST 12 MONTHS
meb4_67	WETS BED, PRIOR PAST 12 MNTHS
meb4_68	WETS BED, YES AGE NOT KNOWN
meb4_69	WETS BED, NO
meb4_70	WETS BED, NO INFORMATION
meb4_71	WETS PANTS, PAST 12 MONTHS
meb4_72	WETS PANTS, PRIOR PAST 12 MNTHS
meb4_73	WETS PANTS, YES AGE NOT KNOWN
meb4_74	WETS PANTS, NO
meb4_75	WETS PANTS, NO INFORMATION
meb4_76	SOILED PANTS, PAST 12 MONTHS
meb4_77	SOILED PANTS, PRIOR PAST 12 MNTHS
meb4_78	SOILED PANTS, YES AGE NOT KNOWN
meb4_79	SOILED PANTS, NO
meb4_80	SOILED PANTS, NO INFORMATION
meb4_81	RETARDATION, PAST 12 MONTHS
meb4_82	RETARDATION, PRIOR PAST 12 MNTHS
meb4_83	RETARDATION, YES AGE NOT KNOWN
meb4_84	RETARDATION, NO
meb4_85	RETARDATION, NO INFORMATION
meb4_86	OTHER ILLNESSES, PAST 12 MONTHS
meb4_87	OTHER ILLNESSES, PRIOR PAST 12 MNTHS
meb4_88	OTHER ILLNESSES, YES AGE NOT KNOWN
meb4_89	OTHER ILLNESSES, NO
meb4_90	OTHER ILLNESSES, NO INFORMATION
meb4_91	OTHER ILLNESS/DISABILITY TEXT POOL IDENT 1
meb4_92	OTHER ILLNESS/DISABILITY TEXT POOL IDENT 2
meb5	PULSE RATE AT START OF MEDICAL EXAM
meb6_1	BEEN PRESCRIBED FOR USE NOW: GLASSES
meb6_2	BEEN PRESCRIBED FOR USE NOW: LENSES
meb6_3	BEEN PRESCRIBED FOR USE NOW: NEITHER
meb6_4	BEEN PRESCRIBED FOR USE NOW: NOT KNOWN
meb6_5	GLASS/CONTACT LENS AVAIL FOR VISION TEST
meb7_1	TYPE CHART USED FOR DISTANT VISION TEST
meb7_2	TEXT FLAG OTHER CHART USED DIST VISION
meb7_3	DISTANT VISION RESULT RIGHT EYE
meb7_4	TEXT FLAG COMMENT DIST VISION TEST R EYE
meb7_5	DISTANT VISION RESULT LEFT EYE
meb7_6	TEXT FLAG COMMENT DIST VISION TEST L EYE
meb7_7	DISTANT VISION RETEST RESULT RIGHT EYE
meb7_8	TEXT FLAG COMMENT DIST VIS RETEST R EYE
meb7_9	DISTANT VISION RETEST RESULT LEFT EYE
meb7_10	TEXT FLAG COMMENT DIST VIS RETEST L EYE
meb8_1	NEAR VISION RESULT RIGHT EYE
meb8_2	TEXT FLAG COMMENT NEAR VISION TEST R EYE
meb8_3	NEAR VISION RESULT LEFT EYE
meb8_4	TEXT FLAG COMMENT NEAR VISION TEST L EYE
meb8_5	NEAR VISION RETEST RESULT RIGHT EYE
meb8_6	TEXT FLAG COMMENT NEAR VIS RETEST R EYE
meb8_7	NEAR VISION RETEST RESULT LEFT EYE
meb8_8	TEXT FLAG COMMENT NEAR VIS RETEST L EYE
meb9	ANY EVIDENCE OF SQUINT
meb10_1	ANY EVIDENCE OF ABNORMAL CONDIT IN EYES
meb10_2	ABNORMAL EYE CONDITION TEXT POOL IDENT 1
meb10_3	ABNORMAL EYE CONDITION TEXT POOL IDENT 2
meb11_1	ANY CURRENT VISUAL DEFECT
meb11_2	TEXT FLAG, REASON UNABLE TO ASSESS
meb12_1	CURRENT HEARING LOSS: MINIMAL UNILATERAL
meb12_2	CURRENT HEARING LOSS: MINIMAL BILATERAL
meb12_3	CURRENT HEARING LOSS: MODERATE UNILATERAL
meb12_4	CURRENT HEARING LOSS: MODERATE BILATERAL
meb12_5	CURRENT HEARING LOSS: MARKED UNILATERAL
meb12_6	CURRENT HEARING LOSS: MARKED BILATERAL
meb12_7	CURRENT HEARING LOSS: NONE UNILATERAL
meb12_8	CURRENT HEARING LOSS: NONE BILATERAL
meb12_9	CURRENT HEARING LOSS: UNCERTAIN UNILATERAL
meb12_10	CURRENT HEARING LOSS: UNCERTAIN BILATERAL
meb12_11	CURRENT HEARING LOSS: NK UNILATERAL
meb12_12	CURRENT HEARING LOSS: NK BILATERAL
meb12_13	CURRENT HEARING LOSS TEXT POOL IDENT 1
meb12_14	CURRENT HEARING LOSS TEXT POOL IDENT 2
meb12_15	DOES HEARING LOSS AFFECT DAILY LIFE?
meb12_16	DOES CHILD WEAR HEARING AID?
meb13	AUDIO RESULTS AVAILABLE TO MAKE ASSESS
meb14_1	SPCH TEST SENTENCE 1, NUMBER MISPRONOUNCED
meb14_2	SPCH TEST SENTENCE 2, NUMBER MISPRONOUNCED
meb14_3	SPCH TEST SENTENCE 3, NUMBER MISPRONOUNCED
meb14_4	SPCH TEST SENTENCE 4, NUMBER MISPRONOUNCED
meb14_5	SPCH TEST SENTENCE 5, NUMBER MISPRONOUNCED
meb14_6	SPCH TEST SENTENCE 6, NUMBER MISPRONOUNCED
meb14_7	SPCH TEST SENTENCE 7, NUMBER MISPRONOUNCED
meb14_8	SPCH TEST SENTENCE 8, NUMBER MISPRONOUNCED
meb14_9	SPCH TEST SENTENCE 9, NUMBER MISPRONOUNCED
meb14_10	TEXT FLAG REASON UNABLE TO TEST SPEECH
meb15_1	HOW INTELLIGIBLE IS CHILD'S SPEECH?
meb15_2	TEXT FLAG REASON UNABLE TO ASSESS SPEECH
meb16	DOES CHILD STAMMER OR STUTTER?
meb17	CHILD'S HEIGHT IN MMS
meb18	CHILD'S HEAD CIRCUMFERENCE IN MMS
meb19_1	CHILD'S WEIGHT IN 10THS OF A KILOGRAM
meb19_2	TYPE OF SCALES USED
meb19_3	TEXT FLAG OTHER TYPE SCALES USED
meb19_4	TEXT FLAG REASON UNABLE TO WEIGH
meb20_1	BLOOD PRESSURE SYSTOLIC
meb20_2	BLOOD PRESSURE DIASTOLIC
meb20_3	BLOOD PRES, DEPTH OF CUFF USED IN MMS
meb20_4	BLOOD PRESSURE DID CUFF ENCIRCLE ARM
meb21_1	ABNORMAL FINDINGS A) FACIAL AND GENERAL
meb21_2	ABN. MEDICAL FINDINGS (A) TEXT POOL ID
meb21_3	ABNORMAL FINDINGS B) SKIN CONDITION
meb21_4	ABN. MEDICAL FINDINGS (B) TEXT POOL ID
meb21_5	ABNORMAL FINDINGS C) ENT CONDITION
meb21_6	ABN. MEDICAL FINDINGS (C) TEXT POOL ID
meb21_7	ABNORMAL FINDINGS D) UPPER RESPIRATORY
meb21_8	ABN. MEDICAL FINDINGS (D) TEXT POOL ID
meb21_9	ABNORMAL FINDINGS E) LOWER RESPIRATORY
meb21_10	ABN. MEDICAL FINDINGS (E) TEXT POOL ID
meb21_11	ABNORMAL FINDINGS F) CARDIOVASCULAR
meb21_12	ABN. MEDICAL FINDINGS (F) TEXT POOL ID
meb21_13	ABNORMAL FINDINGS G) GASTROINTESTINAL
meb21_14	ABN. MEDICAL FINDINGS (G) TEXT POOL ID
meb21_15	ABNORMAL FINDINGS H) OTHER ABDOMINAL
meb21_16	ABN. MEDICAL FINDINGS (H) TEXT POOL ID
meb21_17	ABNORMAL FINDINGS I) UROGENITAL
meb21_18	ABN. MEDICAL FINDINGS (I) TEXT POOL ID
meb21_19	ABNORMAL FINDINGS J) NEUROLOGICAL
meb21_20	ABN. MEDICAL FINDINGS (J) TEXT POOL ID
meb21_21	ABNORMAL FINDINGS K) MUSCULO SKELETAL
meb21_22	ABN. MEDICAL FINDINGS (K) TEXT POOL ID
meb21_23	ABNORMAL FINDINGS L) ENDOCRINE
meb21_24	ABN. MEDICAL FINDINGS (L) TEXT POOL ID
meb21_25	ABNORMAL FINDINGS M) BLOOD, LYMPHATIC
meb21_26	ABN. MEDICAL FINDINGS (M) TEXT POOL ID
meb21_27	ABNORMAL FINDINGS N) MENTAL HANDICAP
meb21_28	ABN. MEDICAL FINDINGS (N) TEXT POOL ID
meb21_29	ABNORMAL FINDINGS O) BEHAVIOUR/EMOTIONAL
meb21_30	ABN. MEDICAL FINDINGS (O) TEXT POOL ID
meb21_31	ABN. MEDICAL FINDINGS (P) TEXT POOL ID
meb22_1	ANY EVIDENCE OF PUBERTY
meb22_2	EVIDENCE OF PUBERTY, SIGN 1
meb22_3	EVIDENCE OF PUBERTY, SIGN 2
meb22_4	EVIDENCE OF PUBERTY, SIGN 3
meb22_5	EVIDENCE OF PUBERTY, SIGN 4
meb22_6	EVIDENCE OF PUBERTY, SIGN 5
meb22_7	ANY SURGICAL/OPERATIVE SCARS
meb22_8	TEXT FLAG SURGICAL/OPERATIVE SCARS
meb22_9	ANY INJURY SCARS
meb22_10	SITE OF INJURY SCAR 1
meb22_11	SITE OF INJURY SCAR 2
meb22_12	SITE OF INJURY SCAR 3
meb22_13	SITE OF INJURY SCAR 4
meb22_14	ANY PATHOLOGICAL HEART MURMUR
meb22_15	TEXT FLAG PATHOLOGICAL HEART MURMUR
meb22_16	UNDESCENDED, ECTOPIC TESTIS
meb22_17	TEXT FLAG UNDESCENDED, ECTOPIC TESTIS
meb22_18	OTHER PATHOLOGY
meb22_19	TEXT FLAG ANY OTHER PATHOLOGY
meb23_1	HAS CHILD ANY DISFIGURING CONDITION?
meb23_2	DISFIGURING CONDITION TEXT POOL IDENTIFIER 1
meb23_3	DISFIGURING CONDITION TEXT POOL IDENTIFIER 2
meb24_1	ANY EVIDENCE OF CONGENITAL ABNORMALITY
meb24_2	CONGENITAL ABNORMALITY 1, TEXT POOL ID
meb24_3	CONGENITAL ABNORMALITY 2, TEXT POOL ID
meb24_4	CONGENITAL ABNORMALITY 3, TEXT POOL ID
meb24_5	CONGENITAL ABNORMALITY 4, TEXT POOL ID
meb25_1	PALM PATTERN LEFT HAND
meb25_2	TEXT FLAG COMMENTS ON PALM PATTERN
meb25_3	PALM PATTERN RIGHT HAND
meb26	DESCRIPTION OF CHILD'S BUILD
meb27_1	LATERALITY A) HAND PICK UP BALL 1ST TIME
meb27_2	LATERALITY A) HAND PICK UP BALL 2ND TIME
meb27_3	LATERALITY B) HAND USED FOR COMBING
meb27_4	LATERALITY C) HAND WRITING
meb27_5	LATERALITY C) FOOT KICKING
meb27_6	LATERALITY D) FOOT STAMPING
meb27_7	LATERALITY E) EYE WHICH HAND
meb27_8	LATERALITY E) EYE WHICH EYE
meb27_9	TEXT FLAG OTHER RESPONSE DOMINANT EYE
meb28_1	THROWING BALL AND CATCHING
meb28_2	THROW BALL, CATCH BOTH HANDS, NO. CLAPS
meb28_3	THROW BALL, CATCH ONE HAND, NO. CLAPS
meb29_1	SORTING MATCHES: RIGHT HAND SECONDS
meb29_2	SORTING MATCHES: LEFT HAND SECONDS
meb30_1	GRAPHESTHESIA: RIGHT PALM, SQUARE
meb30_2	GRAPHESTHESIA: LEFT PALM, X
meb30_3	GRAPHESTHESIA: RIGHT PALM, O
meb30_4	GRAPHESTHESIA: LEFT PALM, SQUARE
meb30_5	GRAPHESTHESIA: RIGHT PALM, 3
meb30_6	GRAPHESTHESIA: LEFT PALM, O
meb30_7	GRAPHESTHESIA: RIGHT PALM, X
meb30_8	GRAPHESTHESIA: LEFT PALM, 3
meb31_1	STANDING ON RIGHT LEG, DID FOOT MOVE
meb31_2	STANDING ON RIGHT LEG, TIME FOOT MOVE
meb31_3	STANDING ON RIGHT LEG, DID HAND MOVE
meb31_4	STANDING ON RIGHT LEG, TIME HAND MOVE
meb31_5	STANDING ON LEFT LEG, DID FOOT MOVE
meb31_6	STANDING ON LEFT LEG, TIME FOOT MOVE
meb31_7	STANDING ON LEFT LEG, DID HAND MOVE
meb31_8	STANDING ON LEFT LEG, TIME HAND MOVE
meb31_9	TEXT FLAG COMMENTS STANDING ON ONE LEG
meb32_1	WALKING BACKWARDS, NO. STEPS
meb32_2	TEXT FLAG COMMENTS WALKING BACKWARDS
meb32_3	TEXT FLAG REASON COORDINATION TEST OMITTED
meb33_1	DESCRIPTION OF CHILD'S COORDINATION
meb33_2	TEXT FLAG COMMENTS WHY UNABLE ASSESS COORDINATION
meb34	PULSE RATE AT END OF MEDICAL EXAMINATION
meb35_1	SUMMARY, EVIDENCE OF PROBLEM
meb35_2	HEALTH, EDUC. DEFECT 1, 30 CHARS TEXT STRING
meb35_3	PROBLEM 1, ICD CODE
meb35_4	PROBLEM 1, ANY EFFECT ON CHILD'S PROGRESS
meb35_5a	HEALTH, EDUC. DEFECT 2, 30 CHARS TEXT STRING (A)
meb35_5b	HEALTH, EDUC. DEFECT 2, 30 CHARS TEXT STRING (B)
meb35_6	PROBLEM 2, ICD CODE
meb35_7	PROBLEM 2, ANY EFFECT ON CHILD'S PROGRESS
meb35_8	HEALTH, EDUC. DEFECT 3, 30 CHARS TEXT STRING
meb35_9	PROBLEM 3, ICD CODE
meb35_10	PROBLEM 3, ANY EFFECT ON CHILD'S PROGRESS
mb35_11a	HEALTH, EDUC. DEFECT 4, 30 CHARS TEXT STRING (A)
mb35_11b	HEALTH, EDUC. DEFECT 4, 30 CHARS TEXT STRING (B)
meb35_12	PROBLEM 4, ICD CODE
meb35_13	PROBLEM 4, ANY EFFECT ON CHILD'S PROGRESS
meb35_14	HEALTH, EDUC. DEFECT 5, 30 CHARS TEXT STRING
meb35_15	PROBLEM 5, ICD CODE
meb35_16	PROBLEM 5, ANY EFFECT ON CHILD'S PROGRESS
mb35_17a	HEALTH, EDUC. DEFECT 6, 30 CHARS TEXT STRING (A)
mb35_17b	HEALTH, EDUC. DEFECT 6, 30 CHARS TEXT STRING (B)
meb35_18	PROBLEM 6, ICD CODE
meb35_19	PROBLEM 6, ANY EFFECT ON CHILD'S PROGRESS
meb35_20	TEXT FLAG COMMENTS HEALTH/EDUC DEFECT
meb36_1	ANY CONDITIONS NOT PREVIOUSLY DIAGNOSED
meb36_2	CONDITION 1, ICD CODE
meb36_3a	UNDIAGNOSED PROBLEM 1, 45 CHARS TEXT STRING (A)
meb36_3b	UNDIAGNOSED PROBLEM 1, 45 CHARS TEXT STRING (B)
meb36_4	CONDITION 2, ICD CODE
meb36_5	UNDIAGNOSED PROBLEM 2, 45 CHARS TEXT STRING
meb36_6	CONDITION 3, ICD CODE
meb36_7a	UNDIAGNOSED PROBLEM 3, 45 CHARS TEXT STRING (A)
meb36_7b	UNDIAGNOSED PROBLEM 3, 45 CHARS TEXT STRING (B)
meb37_1	REQUIRES ONGOING TREAT: NO
meb37_2	REQUIRES ONGOING TREAT: YES, RECEIVING
meb37_3	REQUIRES ONGOING TREAT: YES, NOT RECEIVING
meb37_4	REQUIRES ONGOING TREAT: NOT ENOUGH INFO
meb37_5	CONDITION 1,ICD CODE
meb37_6a	ONGOING PROBLEM 1, 45 CHARS TEXT STRING (A)
meb37_6b	ONGOING PROBLEM 1, 45 CHARS TEXT STRING (B)
meb37_7	CONDITION 2,ICD CODE
meb37_8	ONGOING PROBLEM 2, 45 CHARS TEXT STRING
meb37_9	CONDITION 3,ICD CODE
mb37_10a	ONGOING PROBLEM 3, 45 CHARS TEXT STRING (A)
mb37_10b	ONGOING PROBLEM 3, 45 CHARS TEXT STRING (B)
back1m	BACK PAGE FURTHER INFORMATION
back2m	TEXT FLAG FURTHER ANSWERS BACK PAGE
back3m	TEXT FLAG COMMENTS BY SCM BACK PAGE
ment1_1	TEXT POOL ENTRY 1 POINTER
ment1_2	TEXT POOL ENTRY 1 ICD CODE
ment1_3	TEXT POOL ENTRY 1 30 CHARS TEXT STRING
ment2_1	TEXT POOL ENTRY 2 POINTER
ment2_2	TEXT POOL ENTRY 2 ICD CODE
ment2_3	TEXT POOL ENTRY 2 30 CHARS TEXT STRING
ment3_1	TEXT POOL ENTRY 3 POINTER
ment3_2	TEXT POOL ENTRY 3 ICD CODE
ment3_3	TEXT POOL ENTRY 3 30 CHARS TEXT STRING
ment4_1	TEXT POOL ENTRY 4 POINTER
ment4_2	TEXT POOL ENTRY 4 ICD CODE
ment4_3	TEXT POOL ENTRY 4 30 CHARS TEXT STRING
ment5_1	TEXT POOL ENTRY 5 POINTER
ment5_2	TEXT POOL ENTRY 5 ICD CODE
ment5_3	TEXT POOL ENTRY 5 30 CHARS TEXT STRING
ment6_1	TEXT POOL ENTRY 6 POINTER
ment6_2	TEXT POOL ENTRY 6 ICD CODE
ment6_3	TEXT POOL ENTRY 6 30 CHARS TEXT STRING
ment7_1	TEXT POOL ENTRY 7 POINETR
ment7_2	TEXT POOL ENTRY 7 ICD CODE
ment7_3	TEXT POOL ENTRY 7 30 CHARS TEXT STRING
ment8_1	TEXT POOL ENTRY 8 POINTER
ment8_2	TEXT POOL ENTRY 8 ICD CODE
ment8_3	TEXT POOL ENTRY 8 30 CHARS TEXT STRING
ment9_1	TEXT POOL ENTRY 9 POINTER
ment9_2	TEXT POOL ENTRY 9 ICD CODE
ment9_3	TEXT POOL ENTRY 9 30 CHARS TEXT STRING
ment10_1	TEXT POOL ENTRY 10 POINTER
ment10_2	TEXT POOL ENTRY 10 ICD CODE
ment10_3	TEXT POOL ENTRY 10 30 CHARS TEXT STRING
ment11_1	TEXT POOL ENTRY 11 POINTER
ment11_2	TEXT POOL ENTRY 11 ICD CODE
ment11_3	TEXT POOL ENTRY 11 30 CHARS TEXT STRING
ment12_1	TEXT POOL ENTRY 12 POINTER
ment12_2	TEXT POOL ENTRY 12 ICD CODE
ment12_3	TEXT POOL ENTRY 12 30 CHARS TEXT STRING
ment13_1	TEXT POOL ENTRY 13 POINTER
ment13_2	TEXT POOL ENTRY 13 ICD CODE
ment13_3	TEXT POOL ENTRY 13 30 CHARS TEXT STRING
